Ref,Val,Package,PosX,PosY,Rot,Side
"U401","MPRB2415S-6W","MPRB2415S",170.060000,-114.702500,90.000000,top
"U402","MPRB2415S-6W","MPRB2415S",207.160000,-114.702500,90.000000,top
"U501","MP-LD30-23B12R2","MP-LD30-23B15R2",74.000000,-194.750000,90.000000,top
"U502","173010542","173010578",116.154000,-144.560000,-90.000000,top
"U503","AZ1117-3.3","SOT-223-3_TabPin2",122.904000,-147.260000,0.000000,top
"U601","GO 10-SME/SP3","SOIC8-GO-SME&slash_SP3_LEM",39.000000,-116.000000,-90.000000,top
"U602","HCPL-7800-500E","DIP-8 Gull Wing",48.000000,-116.000000,180.000000,top
"U701","17791063215","17791063215",66.900000,-114.702500,90.000000,top
"U801","STM32G474RETx","LQFP-64_10x10mm_P0.5mm",161.600000,-161.000000,0.000000,top
"U802","USBLC6-2SC6","SOT-23-6",206.000000,-184.100000,0.000000,top
"U901","ACPL-077L","SO-8_3.9x4.9mm_P1.27mm",59.400000,-116.000000,90.000000,top
"U902","TC1412","SOIC-8_3.9x4.9mm_P1.27mm",57.005000,-106.375000,90.000000,top
"U1201","TCN75A","SOIC-8_3.9x4.9mm_P1.27mm",129.500000,-131.400000,180.000000,top
"Y801","16M","ABLS-7.3728MHZ-CL-RESR-A-1-G-F",146.600000,-159.500000,90.000000,top
